# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
0.00041666666666666664,0.0048333333333333336,4320,24
0.00041666666666666664,0.0051666666666666666,2160,12
0.00041666666666666664,0.0054999999999999997,720,4
0.00041666666666666664,0.0058333333333333327,180,1
0.00041666666666666664,0.0061666666666666667,180,1
0.00041666666666666664,0.0064999999999999997,0,0
0.00041666666666666664,0.0068333333333333328,0,0
0.00041666666666666664,0.0071666666666666667,0,0
0.00041666666666666664,0.0074999999999999997,0,0
0.00041666666666666664,0.0078333333333333328,0,0
0.00041666666666666664,0.0081666666666666658,0,0
0.00041666666666666664,0.0084999999999999989,0,0
0.00041666666666666664,0.0088333333333333337,0,0
0.00041666666666666664,0.0091666666666666667,0,0
0.00041666666666666664,0.0094999999999999998,0,0
0.00041666666666666664,0.0098333333333333328,0,0
0.00041666666666666664,0.010166666666666666,0,0
0.00041666666666666664,0.010499999999999999,0,0
0.00041666666666666664,0.010833333333333334,0,0
0.00041666666666666664,0.011166666666666667,0,0
0.00041666666666666664,0.0115,0,0
0.00041666666666666664,0.011833333333333333,0,0
0.00041666666666666664,0.012166666666666666,0,0
0.00041666666666666664,0.012499999999999999,0,0
0.00041666666666666664,0.012833333333333334,0,0
0.00041666666666666664,0.013166666666666667,0,0
0.00041666666666666664,0.0135,0,0
0.00041666666666666664,0.013833333333333333,0,0
0.00041666666666666664,0.014166666666666666,0,0
0.00041666666666666664,0.014499999999999999,0,0
0.00041666666666666664,0.014833333333333332,0,0
0.00041666666666666664,0.015166666666666667,0,0
0.00041666666666666664,0.0155,0,0
0.00041666666666666664,0.015833333333333331,0,0
0.00041666666666666664,0.016166666666666666,0,0
0.00041666666666666664,0.016500000000000001,0,0
0.00041666666666666664,0.016833333333333332,0,0
0.00041666666666666664,0.017166666666666667,0,0
0.00041666666666666664,0.017499999999999998,0,0
0.00041666666666666664,0.017833333333333333,0,0
0.00041666666666666664,0.018166666666666668,0,0
0.00041666666666666664,0.018499999999999999,0,0
0.00041666666666666664,0.018833333333333334,0,0
0.00041666666666666664,0.019166666666666665,0,0
0.00041666666666666664,0.0195,0,0
0.00041666666666666664,0.019833333333333331,0,0
0.00058333333333333327,0.00016666666666666666,4320,24
0.00058333333333333327,0.00050000000000000001,11880,66
0.00058333333333333327,0.00083333333333333328,22860,127
0.00058333333333333327,0.0011666666666666665,32940,183
0.00058333333333333327,0.0015,45180,251
