z,delta_x
0.84261821,0.0003706621425523249
0.845024,0.0003756999530516447
0.84742599,0.00037281438753733465
0.84982418,0.00036200544600939466
0.85221854,0.00034326075970975145
0.85460908,0.0003165877848911869
0.85699577,0.0002819941527955616
0.85937862,0.00023947731967560726
0.8617576,0.00018902491677341704
0.86413271,0.00013064694408881916
0.86650393,6.433848911657769e-05
0.86887127,6.138895989438176e-06
0.87123469,8.093093212863112e-05
0.87359421,0.0001475460445130583
0.87594979,0.00020596175187304055
0.87830144,0.00025619617452626864
0.88064915,0.0002982511921551523
0.88299289,0.00033211244380787486
0.88533267,0.00035779804980173857
0.88766847,0.0003752917695020175
0.89000028,0.0003845954825914544
0.8923281,0.000385719189070044
0.8946519,0.0003786485279859697
0.89697168,0.0003633934993389487
0.89928743,0.0003399559828118348
0.90159914,0.00030832785808720953
0.9039068,0.0002685210048479769
0.90621039,0.00022051918245930002
0.90850991,0.00016433239092111807
0.91080535,9.996250991628486e-05
0.9130967,2.740141912738192e-05
0.91538395,4.435880620862198e-05
0.91766708,0.00011776329605112101
0.91994609,0.00018268928326875544
0.92222096,0.00023913910522715964
0.92449169,0.00028711276192650015
0.92675826,0.00032660259073269415
0.92902067,0.0003576185916457364
0.93127891,0.0003801619333485551
0.93353296,0.0003942249532070119
0.93578281,0.0003997988199040958
0.93802846,0.00039690353343985185
0.9402699,0.00038553026249715794
0.9425071,0.00036566251312492026
0.94474008,0.0003373379479570948
0.94696881,0.00030053007304270407
0.94919328,0.000255230057064626
0.95141349,0.00020146790002284476
0.95362942,0.00013922593928328286
0.95584107,6.850417484588478e-05
0.95804842,6.729729729759715e-06
0.96025146,8.720729729727594e-05
0.96245019,0.0001588695945946017
0.9646446,0.00022173702702699138
0.96683467,0.00027580040540542416
0.9690204,0.0003210497297297388
0.97120177,0.00035749581081079285
0.97337877,0.0003851290540540231
0.97555141,0.00040396905405409855
0.97771966,0.0004139870270270518
0.97988351,0.0004152033783783593
0.98204296,0.0004076081081081373
0.984198,0.00039121162162164547
0.98634862,0.0003660043243243205
0.9884948,0.00033198702702708083
0.99063655,0.0002891793243243179
0.99277384,0.00023755243243245294
0.99490666,0.00017710675675686183
0.99703502,0.0001078718918918753
0.9991589,2.9828648648644318e-05
0.9999998729019618,-3.991160317851072e-06
